36	71	6	49
33	93	110	97
63	63	110	90
55	84	85	86
48	87	35	66
25	74	95	84
64	10	28	41
27	46	40	54
39	75	25	58
29	89	80	83
26	54	25	50
62	94	105	97
81	77	60	76
40	51	35	55
29	91	40	68
36	71	6	49
33	93	110	97
63	63	110	90
55	84	85	86
48	87	35	66
25	74	95	84
64	10	28	41
27	46	40	54
39	75	25	58
29	89	80	83
26	54	25	50
62	94	105	97
81	77	60	76
40	51	35	55
29	91	40	68
63	93	115	101
98	90	85	91
95	115	113	109
96	115	105	106
78	109	88	96
93	99	50	79
41	69	25	56
34	71	36	60
42	33	40	51
30	36	35	49
61	80	35	65
59	84	45	70
61	68	70	75
41	62	65	70
78	95	110	101
48	70	23	56
39	40	20	45
33	52	45	58
40	93	40	69
79	72	60	74
61	87	80	85
86	85	103	96
60	73	66	75
62	89	55	76
44	81	48	69
65	89	115	100
27	21	0	30
48	68	40	62
41	77	30	60
40	91	50	73
51	88	60	76
62	73	50	69
89	88	90	92
59	88	68	80
41	60	15	49
76	81	135	106
84	95	118	104
52	78	93	87
65	91	76	85
80	59	50	66
39	84	76	81
94	95	125	108
80	66	70	76
90	95	110	102
45	60	51	64
5	15	0	27
55	87	51	73
49	90	85	87
48	55	88	78
91	86	106	97
33	69	83	79
58	80	43	68
43	60	35	57
32	95	75	83
57	69	103	88
45	95	73	83
64	85	103	94
51	78	30	61
43	67	10	50
53	83	35	65
30	70	38	61
47	91	73	82
80	95	95	95
43	72	43	64
